type,dwage9x,floor5x,count,countsamp,GeneralType
"Ground floor purpose built flat, low rise",1945 to 1964,less than 50 sqm,97020,109,Z
"Ground floor purpose built flat, low rise",1965 to 1974,110 sqm or more,2657,2,KW
"Ground floor purpose built flat, low rise",1965 to 1974,50 to 69 sqm,89396,87,AM
"Ground floor purpose built flat, low rise",1965 to 1974,70 to 89 sqm,36382,34,CS
"Ground floor purpose built flat, low rise",1965 to 1974,90 to 109 sqm,3629,5,KW
"Ground floor purpose built flat, low rise",1965 to 1974,less than 50 sqm,98539,97,AG
"Ground floor purpose built flat, low rise",1975 to 1980,110 sqm or more,536,1,TC
"Ground floor purpose built flat, low rise",1975 to 1980,50 to 69 sqm,34779,36,CL
"Ground floor purpose built flat, low rise",1975 to 1980,70 to 89 sqm,8012,9,IK
"Ground floor purpose built flat, low rise",1975 to 1980,less than 50 sqm,70337,63,BG
"Ground floor purpose built flat, low rise",1981 to 1990,110 sqm or more,2397,1,XS
"Ground floor purpose built flat, low rise",1981 to 1990,50 to 69 sqm,64861,47,BU
"Ground floor purpose built flat, low rise",1981 to 1990,70 to 89 sqm,3555,3,XS
"Ground floor purpose built flat, low rise",1981 to 1990,90 to 109 sqm,5062,3,XS
"Ground floor purpose built flat, low rise",1981 to 1990,less than 50 sqm,129171,98,AE
"Ground floor purpose built flat, low rise",post 1990,110 sqm or more,5939,2,XT
"Ground floor purpose built flat, low rise",post 1990,50 to 69 sqm,143683,77,AT
"Ground floor purpose built flat, low rise",post 1990,70 to 89 sqm,37236,17,FM
"Ground floor purpose built flat, low rise",post 1990,90 to 109 sqm,1474,2,XT
"Ground floor purpose built flat, low rise",post 1990,less than 50 sqm,101300,67,BD
Mid Floor converted flat,1850 to 1899,110 sqm or more,7476,3,IX
Mid Floor converted flat,1850 to 1899,50 to 69 sqm,43579,13,GP
Mid Floor converted flat,1850 to 1899,70 to 89 sqm,10186,8,IX
Mid Floor converted flat,1850 to 1899,90 to 109 sqm,7418,1,IX
Mid Floor converted flat,1850 to 1899,less than 50 sqm,41587,26,DQ
Mid Floor converted flat,1900 to 1918,110 sqm or more,8933,2,ZE
Mid Floor converted flat,1900 to 1918,50 to 69 sqm,10002,7,ZE
Mid Floor converted flat,1900 to 1918,70 to 89 sqm,2378,2,ZE
Mid Floor converted flat,1900 to 1918,90 to 109 sqm,2970,1,ZE
Mid Floor converted flat,1900 to 1918,less than 50 sqm,16338,12,GZ
Mid Floor converted flat,1919 to 1944,50 to 69 sqm,4262,3,ZF
Mid Floor converted flat,1919 to 1944,less than 50 sqm,1660,1,ZF
Mid Floor converted flat,1945 to 1964,less than 50 sqm,7255,2,ZF
Mid Floor converted flat,1965 to 1974,50 to 69 sqm,1378,1,ZF
Mid Floor converted flat,pre 1850,110 sqm or more,5151,1,ZD
Mid Floor converted flat,pre 1850,50 to 69 sqm,2851,2,ZD
Mid Floor converted flat,pre 1850,70 to 89 sqm,1720,1,ZD
Mid Floor converted flat,pre 1850,90 to 109 sqm,1170,1,ZD
Mid Floor converted flat,pre 1850,less than 50 sqm,9637,6,ZD
"Mid Floor purpose built flat, high rise",1900 to 1918,50 to 69 sqm,1255,1,XL
"Mid Floor purpose built flat, high rise",1900 to 1918,70 to 89 sqm,731,1,XL
"Mid Floor purpose built flat, high rise",1919 to 1944,50 to 69 sqm,6744,3,XL
"Mid Floor purpose built flat, high rise",1919 to 1944,70 to 89 sqm,6718,4,XL
"Mid Floor purpose built flat, high rise",1919 to 1944,less than 50 sqm,15233,5,XL
"Mid Floor purpose built flat, high rise",1945 to 1964,50 to 69 sqm,32217,31,DA
"Mid Floor purpose built flat, high rise",1945 to 1964,70 to 89 sqm,7216,10,HP
"Mid Floor purpose built flat, high rise",1945 to 1964,90 to 109 sqm,1932,2,PH
"Mid Floor purpose built flat, high rise",1945 to 1964,less than 50 sqm,23648,22,EJ
"Mid Floor purpose built flat, high rise",1965 to 1974,110 sqm or more,2532,1,PI
"Mid Floor purpose built flat, high rise",1965 to 1974,50 to 69 sqm,76402,71,AY
"Mid Floor purpose built flat, high rise",1965 to 1974,70 to 89 sqm,17115,13,GQ
"Mid Floor purpose built flat, high rise",1965 to 1974,90 to 109 sqm,3601,2,PI
"Mid Floor purpose built flat, high rise",1965 to 1974,less than 50 sqm,32166,37,CJ
"Mid Floor purpose built flat, high rise",1975 to 1980,50 to 69 sqm,3531,6,XM
"Mid Floor purpose built flat, high rise",1975 to 1980,70 to 89 sqm,9446,1,XM
"Mid Floor purpose built flat, high rise",1975 to 1980,less than 50 sqm,3691,4,XM
"Mid Floor purpose built flat, high rise",1981 to 1990,50 to 69 sqm,7254,4,XM
"Mid Floor purpose built flat, high rise",1981 to 1990,70 to 89 sqm,1033,1,XM
"Mid Floor purpose built flat, high rise",1981 to 1990,less than 50 sqm,795,1,XM
"Mid Floor purpose built flat, high rise",post 1990,110 sqm or more,1931,1,XM
