"","archcode","count","countsamp","conf"
"898","HF-C-C-A-A",1723,3,574.333333333333
"899","HF-C-C-A-B",5007,6,834.5
"900","HF-C-C-B-B",544,1,544
"901","HF-C-C-D-B",2320,2,1160
"902","HF-C-C-K-B",744,1,744
"903","HF-C-D-A-B",1267,2,633.5
"904","HF-C-D-B-B",557,1,557
"905","HF-C-D-D-A",378,1,378
"906","HH-A-A-A-A",146288,121,1208.99173553719
"907","HH-A-A-A-B",1583,1,1583
"908","HH-A-A-B-A",20901,18,1161.16666666667
"909","HH-A-A-C-A",40436,17,2378.58823529412
"910","HH-A-A-C-B",1341,1,1341
"911","HH-A-A-D-A",134000,84,1595.2380952381
"912","HH-A-A-D-B",2164,1,2164
"913","HH-A-A-F-A",19942,9,2215.77777777778
"914","HH-A-A-F-B",4363,1,4363
"915","HH-A-A-G-A",50482,56,901.464285714286
"916","HH-A-A-H-A",4293,4,1073.25
"917","HH-A-A-K-A",6807,4,1701.75
"918","HH-A-B-A-A",4894,1,4894
"919","HH-A-B-B-A",343,1,343
"920","HH-A-B-C-A",728,1,728
"921","HH-A-B-G-A",2138,2,1069
"922","HH-A-C-A-A",1085,2,542.5
"923","HH-A-C-F-A",1710,1,1710
"924","HH-C-A-A-B",8137,5,1627.4
"925","HH-C-A-B-A",1135,1,1135
"926","HH-C-A-C-A",1251,1,1251
"927","HH-C-A-D-B",4224,4,1056
"928","HH-C-A-F-B",636,1,636
"929","HH-C-A-G-B",677,1,677
"930","HH-C-A-L-B",2673,1,2673
"931","HI-A-A-A-A",309438,185,1672.63783783784
"932","HI-A-A-A-B",3859,3,1286.33333333333
"933","HI-A-A-B-A",46982,24,1957.58333333333
"934","HI-A-A-C-A",26774,16,1673.375
"935","HI-A-A-D-A",213886,106,2017.79245283019
"936","HI-A-A-F-A",44531,12,3710.91666666667
"937","HI-A-A-F-B",2483,1,2483
"938","HI-A-A-G-A",47021,31,1516.8064516129
"939","HI-A-A-K-A",20444,7,2920.57142857143
"940","HI-A-A-L-A",4881,2,2440.5
"941","HI-A-B-A-A",3890,2,1945
"942","HI-A-C-A-A",7174,2,3587
"943","HI-A-C-F-A",3693,1,3693
"944","HI-A-C-G-A",760,1,760
"945","HI-A-D-F-A",1071,1,1071
"946","HI-C-A-A-A",4270,4,1067.5
"947","HI-C-A-A-B",30943,14,2210.21428571429
"948","HI-C-A-B-A",626,1,626
"949","HI-C-A-B-B",9626,4,2406.5
"950","HI-C-A-C-A",994,1,994
"951","HI-C-A-D-A",8636,3,2878.66666666667
"952","HI-C-A-D-B",1385,2,692.5
"953","HI-C-A-F-B",6711,3,2237
"954","HI-C-A-G-A",703,1,703
"955","HI-C-A-G-B",5839,3,1946.33333333333
"956","HI-C-B-A-B",1258,1,1258
"957","HI-C-C-A-B",1324,2,662
"958","HI-C-C-B-A",702,1,702
"959","HI-C-C-D-B",416,1,416
"960","HI-C-C-F-A",715,1,715
"961","HI-C-C-F-B",3021,2,1510.5
"962","HI-C-C-K-A",868,1,868
"963","I-A-A-A-A",17417,10,1741.7
"964","I-A-A-B-A",4933,2,2466.5
"965","I-A-A-C-A",1162,1,1162
"966","I-A-A-D-A",11967,6,1994.5
"967","I-A-A-G-A",797,1,797
