"","type","floor5x","dwage9x","count","countsamp","conf"
"2996","end terrace 2 floors","less than 50 sqm","post 1990",15520,11,1410.90909090909
"26","end terrace 2 floors","50 to 69 sqm","post 1990",137213,76,1805.43421052632
"580","end terrace 2 floors","70 to 89 sqm","post 1990",94001,67,1403
"763","end terrace 2 floors","90 to 109 sqm","post 1990",11836,13,910.461538461538
"985","end terrace 2 floors","110 sqm or more","post 1990",11594,5,2318.8
"1684","end terrace 3 floors","50 to 69 sqm","pre 1850",2841,1,2841
"608","end terrace 3 floors","110 sqm or more","pre 1850",22110,7,3158.57142857143
"6883","end terrace 3 floors","less than 50 sqm","1850 to 1899",3074,1,3074
"12254","end terrace 3 floors","50 to 69 sqm","1850 to 1899",3657,1,3657
"2536","end terrace 3 floors","70 to 89 sqm","1850 to 1899",9149,5,1829.8
"4071","end terrace 3 floors","90 to 109 sqm","1850 to 1899",15807,7,2258.14285714286
"198","end terrace 3 floors","110 sqm or more","1850 to 1899",30361,12,2530.08333333333
"9554","end terrace 3 floors","less than 50 sqm","1900 to 1918",10198,3,3399.33333333333
"853","end terrace 3 floors","50 to 69 sqm","1900 to 1918",728,1,728
"869","end terrace 3 floors","70 to 89 sqm","1900 to 1918",23701,8,2962.625
"7278","end terrace 3 floors","90 to 109 sqm","1900 to 1918",8936,3,2978.66666666667
"1384","end terrace 3 floors","110 sqm or more","1900 to 1918",25105,12,2092.08333333333
"1564","end terrace 3 floors","less than 50 sqm","1919 to 1944",5204,2,2602
"3946","end terrace 3 floors","50 to 69 sqm","1919 to 1944",2426,1,2426
"10441","end terrace 3 floors","70 to 89 sqm","1919 to 1944",1267,1,1267
"2282","end terrace 3 floors","90 to 109 sqm","1919 to 1944",13369,5,2673.8
"3031","end terrace 3 floors","110 sqm or more","1919 to 1944",4710,2,2355
"11974","end terrace 3 floors","50 to 69 sqm","1945 to 1964",1905,1,1905
"5787","end terrace 3 floors","90 to 109 sqm","1945 to 1964",8799,3,2933
"3472","end terrace 3 floors","110 sqm or more","1945 to 1964",3509,2,1754.5
"3776","end terrace 3 floors","70 to 89 sqm","1965 to 1974",5163,3,1721
"102","end terrace 3 floors","90 to 109 sqm","1965 to 1974",14723,4,3680.75
"4818","end terrace 3 floors","110 sqm or more","1965 to 1974",9188,3,3062.66666666667
"8018","end terrace 3 floors","70 to 89 sqm","1975 to 1980",398,1,398
"2825","end terrace 3 floors","90 to 109 sqm","1975 to 1980",6102,5,1220.4
"1495","end terrace 3 floors","110 sqm or more","1975 to 1980",2209,1,2209
