name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
bothalboy,243,36,207,713.4,56,657.4,48084.57207,
IMNcontent,237,30,207,234,34.2,199.8,12539.65794,
pareto_law,234,27,207,227.8,28.4,199.4,816.3682051,
DrJHernandez_PE,232,25,207,241.3,32.2,209.1,37.24334744,
WestminsterGB,225,18,207,212.1,12,200.1,33990.33778,
Michael_Jary,224,17,207,223.9,19.1,204.8,55.10183285,
skylinefilmtv,217,10,207,98.4,6.8,91.6,11338.41423,
Herring1967,729,523,206,674.1,486.7,187.4,41393.00691,
SimpsonHaugh,428,222,206,604.5,309.8,294.7,66968.62612,
gassafemark,425,219,206,829.5,339.6,489.9,2167.402578,
RHAhousing,418,212,206,1056,577.1,478.9,60093.35541,
New_Wave_Doors,400,194,206,663.3,200.1,463.2,772.4645322,
Hansgrohe_PR,368,162,206,454.3,170.9,283.4,7061.121977,
Educ_Technology,345,139,206,386.8,162.6,224.2,70043.69802,
lowcarbonspace,341,135,206,564.9,256.5,308.4,80287.0139,
CMcohousing,332,126,206,684.5,462.5,222,4.372103294,
f3nsa,327,121,206,435.9,151.1,284.8,5525.781752,
NeedBased,293,87,206,492.7,213.8,278.9,23543.45856,
RogerBullivant,289,83,206,306.3,88.8,217.5,12302.74603,
tmjcontractors,282,76,206,346.6,83.9,262.7,10571.56184,
HfdsBC,281,75,206,327.6,101.6,226,2335.252229,
sarahroweleg,280,74,206,560.3,110.1,450.2,7842.674569,
HayhurstAndCo,279,73,206,367.1,104.9,262.2,258.9250854,
NaylorsSurveyor,271,65,206,305.1,78.3,226.8,1081.96853,
DavidPRadford,262,56,206,360.9,78.3,282.6,5807.794948,
DEI_Durham,259,53,206,422.5,85.8,336.7,4568.437067,
chewtonbespoke,249,43,206,272.4,45.1,227.3,0.749522626,
philippam2009,245,39,206,458.8,68.4,390.4,7763.496264,
shropshirekat,241,35,206,197.8,39.5,158.3,83605.24905,
GreenLinkedLive,240,34,206,243,35,208,38.19982733,
IanRule,234,28,206,177.7,22.5,155.2,70221.0939,
Maria_DRE,231,25,206,250.7,26.8,223.9,258.0729556,
EmmaKennedy,935,730,205,613.7,550.1,63.6,397766.8601,
Living_Cities,696,491,205,738.5,525.8,212.7,34301.90501,
nottmcityhomes,645,440,205,1639.8,997.2,642.6,13314.63256,
UKhousingawards,456,251,205,807.1,490.3,316.8,136.3948472,
O2UKThinkBig,434,229,205,564.4,299.7,264.7,4679.929989,
