"","Finchtyp","mainfuel","watersys","tank","Finmhboi","count","countsamp","conf"
"1982","Storage heaters","electricity","Electric immersion heater","No Tank","No boiler",10195,5,2039
"5","Storage heaters","electricity","Electric immersion heater","Tank with Immersion Heater","No boiler",1336637,977,1368.1033776868
"36","Storage heaters","electricity","Instantaneous","No Tank","No boiler",41915,28,1496.96428571429
"6435","Storage heaters","electricity","Instantaneous","Tank without Immersion Heater","No boiler",10024,10,1002.4
"5534","Warm air","electricity","Electric immersion heater","Tank with Immersion Heater","Standard",638,1,638
"987","Warm air","electricity","Electric immersion heater","Tank with Immersion Heater","No boiler",12621,10,1262.1
"4349","Warm air","gas (mains)","Dedicated boiler","No Tank","Standard",8605,5,1721
"6066","Warm air","gas (mains)","Dedicated boiler","Tank with Immersion Heater","Standard",1283,1,1283
"3120","Warm air","gas (mains)","Dedicated boiler","Tank without Immersion Heater","Standard",2851,2,1425.5
"1016","Warm air","gas (mains)","Dedicated boiler","Tank without Immersion Heater","No boiler",1511,1,1511
"408","Warm air","gas (mains)","Electric immersion heater","Tank with Immersion Heater","Standard",21878,15,1458.53333333333
"2172","Warm air","gas (mains)","Electric immersion heater","Tank with Immersion Heater","No boiler",15081,12,1256.75
"3673","Warm air","gas (mains)","Instantaneous","No Tank","Standard",5860,6,976.666666666667
"7699","Warm air","gas (mains)","Instantaneous","No Tank","No boiler",8225,3,2741.66666666667
"14703","Warm air","gas (mains)","Instantaneous","Tank without Immersion Heater","No boiler",2319,1,2319
"10815","Warm air","gas (mains)","With central heating","No Tank","Condensing combi",2330,1,2330
"13380","Warm air","gas (mains)","With central heating","No Tank","No boiler",3308,1,3308
"283","Warm air","gas (mains)","With central heating","Tank with Immersion Heater","Standard",43619,26,1677.65384615385
"8293","Warm air","gas (mains)","With central heating","Tank with Immersion Heater","No boiler",2749,2,1374.5
"2917","Warm air","gas (mains)","With central heating","Tank without Immersion Heater","Standard",21968,17,1292.23529411765
"3227","Warm air","gas (mains)","With central heating","Tank without Immersion Heater","Combination",1628,1,1628
"7640","Warm air","heating oil ","With central heating","Tank with Immersion Heater","Standard",1428,1,1428
